BSM-RADIO CPU  Revised: Tuesday, January 24, 2012
1          Revision: 0

Develer
Via Mugellese 1/A
50013 Campi Bisenzio
Firenze
Italia

Bill Of Materials       February 10,2012      17:20:53	Page1

Item	Quantity	Reference	Part	case	voltage	type	1st	2st	2nd
______________________________________________

1	11	C1,C2,C4,C5,C6,C7,C8,C9,	100nF	0603	25V				
		C10,C12,C13
2	2	C3,C11	1uF	0603	25V				
3	2	C14,C19	1.5pF	0603	25V	NP0			
4	1	C15	100pF	0603	25V	NP0			
5	1	C16	12pF	0603	25V	NP0			
6	1	C17	3.3pF	0603	25V	NP0			
7	1	C18	NP	0603	25V	NP0			
8	2	C20,C21	6.8pF	0603	25V				
9	2	C22,C23	22pF	0603	25V				
10	1	C24	12pF	0603	25V				
11	1	C25	15pF	0603	25V				
12	1	C26	10uF	0805	10V				
13	1	C27	1pF	0603	25V	NP0			
14	1	C28	47pF	0603	25V	NP0			
15	1	J1	ANTENNA_SMB	jack_smb					
16	2	L1,L6	10uH	1210	16V				
17	2	L2,L5	18nH	0603					
18	4	L3,L4,L7,L8	12nH	0603					
19	1	L9	3.3nH	0603					
20	1	P1	PB10-TX3	THD					
21	1	P2	PB11-RX3	THD					
22	1	P3	PB12	THD					
23	1	P4	BOOT1	THD					
24	2	P5,P21	PB13	THD					
25	1	P6	PB14	THD					
26	1	P7	PB15	THD					
27	1	P8	PA8	THD					
28	1	P9	PA9-TX1	THD					
29	1	P10	PA10-RX1	THD					
30	1	P11	PA13-TMS	THD					
31	1	P12	PA14-TCK	THD					
32	1	P13	PA15-TDI	THD					
33	1	P14	PB3-TDO	THD					
34	1	P15	PA4-TRST	THD					
35	1	P16	PB5	THD					
36	1	P17	PB6	THD					
37	1	P18	PB7	THD					
38	1	P19	PB8	THD					
39	1	P20	PB9	THD					
40	1	P22	RESET	THD					
41	1	P23	PA0-ADC0	THD					
42	1	P24	PA1-ADC1	THD					
43	1	P25	PA2-TX2-ADC2	THD					
44	1	P26	PB1-ADC9	THD					
45	1	P27	PB0-ADC8	THD					
46	1	P28	PA3-RX2-ADC3	THD					
47	1	P29	Vdd	THD					
48	1	P30	Vradio	THD					
49	1	P31	GND	THD					
50	2	P32,P33	Screw	THD					
51	1	R1	56K	0603			5%	100ppm	
52	4	R2,R9,R10,R11	100K	0603			5%	100ppm	
53	4	R3,R4,R5,R6	33	0603			5%	100ppm	
54	1	R8	0	0603			5%	100ppm	
55	1	R12	220	0603			5%	100ppm	
56	1	U1	STM32F100C4T6B	LQFP48					
57	1	U2	CC1101	PVQFN					
58	1	Y1	32.768kHz	PTH					
59	1	Y2	8MHz	HC49					
60	1	Y3	26MHz	SMD5x3.2					
61	1	Y4	26MHz	HC49					
